number,name,status
397,Python launcher for Windows,Final
389,argparse - New Command Line Parsing Module,Final
391,Dictionary-Based Configuration For Logging,Final
414,Explicit Unicode Literal for Python 3.3,Final
415,Implement context suppression with exception attributes,Final
380,Syntax for Delegating to a Subgenerator,Final
383,Non-decodable Bytes in System Character Interfaces,Final
376,Database of Installed Python Distributions,Final
405,Python Virtual Environments,Final
384,Defining a Stable ABI,Final
370,Per user site-packages directory,Final
366,Main module explicit relative imports,Final
362,Function Signature Object,Final
378,Format Specifier for Thousands Separator,Final
372,Adding an ordered dictionary to collections,Final
353,Using ssize_t as the index type,Final
352,Required Superclass for Exceptions,Final
371,Addition of the multiprocessing package to the standard library,Final
343,The “with” Statement,Final
331,Locale-Independent Float/String Conversions,Final
338,Executing modules as scripts,Final
358,The “bytes” Object,Final
327,Decimal Data Type,Final
357,Allowing Any Object to be Used for Slicing,Final
322,Reverse Iteration,Final
324,subprocess - New process module,Final
342,Coroutines via Enhanced Generators,Final
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
308,Conditional Expressions,Final
307,Extensions to the pickle protocol,Final
328,Imports: Multi-Line and Absolute/Relative,Final
341,Unifying try-except and try-finally,Final
305,CSV File API,Final
318,Decorators for Functions and Methods,Final
293,Codec Error Handling Callbacks,Final
301,Package Index and Metadata for Distutils,Final
309,Partial Function Application,Final
285,Adding a bool type,Final
278,Universal Newline Support,Final
282,A Logging System,Final
302,New Import Hooks,Final
274,Dict Comprehensions,Final
292,Simpler String Substitutions,Final
289,Generator Expressions,Final
273,Import Modules from Zip Archives,Final
264,Future statements in simulated shells,Final
261,Support for “wide” Unicode characters,Final
279,The enumerate() built-in function,Final
252,Making Types Look More Like Classes,Final
253,Subtyping Built-in Types,Final
277,Unicode file name support for Windows NT,Final
236,Back to the __future__,Final
237,Unifying Long Integers and Integers,Final
263,Defining Python Source Code Encodings,Final
260,Simplify xrange(),Final
234,Iterators,Final
232,Function Attributes,Final
250,Using site-packages on Windows,Final
238,Changing the Division Operator,Final
255,Simple Generators,Final
227,Statically Nested Scopes,Final
223,Change the Meaning of ,Final
235,Import on Case-Insensitive Platforms,Final
214,Extended Print Statement,Final
208,Reworking the Coercion Model,Final
230,Warning Framework,Final
205,Weak References,Final
203,Augmented Assignments,Final
207,Rich Comparisons,Final
229,Using Distutils to Build Python,Final
221,Import As,Final
217,Display Hook for Interactive Use,Final
218,Adding a Built-In Set Object Type,Final
833,Freezing the HTML simple repository API,Draft
201,Lockstep Iteration,Final
202,List Comprehensions,Final
827,Type Manipulation,Draft
825,Wheel Variants: Package Format,Draft
822,Dedented Multiline String (d-string),Draft
830,Add timestamps to exceptions and tracebacks,Draft
818,Adding the Core of the Pyodide Foreign Function Interface to Python,Draft
100,Python Unicode Integration,Final
817,Wheel Variants: Beyond Platform Tags,Draft
828,Supporting ‘yield from’ in asynchronous generators,Draft
813,The Pretty Print Protocol,Draft
832,Virtual environment discovery,Draft
809,Stable ABI for the Future,Draft
807,Index support for Trusted Publishing,Draft
802,Display Syntax for the Empty Set,Draft
821,Support for unpacking TypedDicts in Callable type hints,Draft
819,JSON Package Metadata,Draft
789,Preventing task-cancellation bugs by limiting yield in async generators,Draft
786,Precision and modulo-precision flag format specifiers for integer fields,Draft
785,New methods for easier handling of ,Draft
808,Including static values in dynamic metadata,Draft
797,Shared Object Proxies,Draft
777,How to Re-invent the Wheel,Draft
771,Default Extras for Python Software Packages,Draft
767,Annotating Read-Only Attributes,Draft
781,Make ,Draft
752,Implicit namespaces for package repositories,Draft
780,ABI features as environment markers,Draft
755,Implicit namespace policy for PyPI,Draft
804,An external dependency registry and name mapping mechanism,Draft
744,JIT Compilation,Draft
766,Explicit Priority Choices Among Multiple Indexes,Draft
720,Cross-compiling Python packages,Draft
764,Inline typed dictionaries,Draft
748,A Unified TLS API for Python,Draft
694,Upload 2.0 API for Python Package Indexes,Draft
746,Type checking Annotated metadata,Draft
718,Subscriptable functions,Draft
638,Syntactic Macros,Draft
653,Precise Semantics for Pattern Matching,Draft
671,Syntax for late-bound function argument defaults,Draft
725,Specifying external dependencies in pyproject.toml,Draft
467,Minor API improvements for binary sequences,Draft
710,Recording the provenance of installed packages,Draft
711,PyBI: a standard format for distributing Python Binaries,Draft
603,Adding a frozenmap type to collections,Draft
810,Explicit lazy imports,Accepted
799,A dedicated ,Accepted
829,Package Startup Configuration Files,Accepted
794,Import Name Metadata,Accepted
820,PySlot: Unified slot system for the C API,Accepted
793,PyModExport: A new entry point for C extension modules,Accepted
803,“abi3t”: Stable ABI for Free-Threaded Builds,Accepted
783,Emscripten Packaging,Accepted
480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
773,A Python Installation Manager for Windows,Accepted
800,Disjoint bases in the type system,Accepted
8105,2024 Term Steering Council election,Final
8102,2021 Term Steering Council election,Final
798,Unpacking in Comprehensions,Accepted
8101,2020 Term Steering Council election,Final
8100,January 2019 Steering Council election,Final
8016,The Steering Council Model,Accepted
8002,Open Source Governance Survey,Final
8000,Python Language Governance Proposal Overview,Final
8106,2025 Term Steering Council election,Final
8103,2022 Term Steering Council election,Final
816,WASI Support,Active
801,Reserved,Active
8104,2023 Term Steering Council election,Final
762,REPL-acing the default REPL,Final
745,Python 3.14 Release Schedule,Active
3333,Python Web Server Gateway Interface v1.0.1,Final
719,Python 3.13 Release Schedule,Active
733,An Evaluation of Python’s Public C API,Final
826,Python 3.16 Release Schedule,Active
790,Python 3.15 Release Schedule,Active
672,Unicode-related Security Considerations for Python,Active
636,Structural Pattern Matching: Tutorial,Final
776,Emscripten Support,Active
630,Isolating Extension Modules,Final
619,Python 3.10 Release Schedule,Active
607,Reducing CPython’s Feature Delivery Latency,Final
693,Python 3.12 Release Schedule,Active
579,Refactoring C functions and methods,Final
514,Python registration in the Windows registry,Active
664,Python 3.11 Release Schedule,Active
659,Specializing Adaptive Interpreter,Final
483,The Theory of Type Hints,Final
452,API for Cryptographic Hash Functions v2.0,Final
457,Notation For Positional-Only Parameters,Final
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
394,The “python” Command on Unix-Like Systems,Active
333,Python Web Server Gateway Interface v1.0,Final
482,Literature Overview for Type Hints,Final
290,Code Migration and Modernization,Active
434,IDLE Enhancement Exception for All Branches,Active
588,GitHub Issues Migration Plan,Final
